Date,Open,High,Low,Close,Adj Close,Volume
2015-09-25,2.880000,2.900000,2.870000,2.890000,2.707553,461900
2015-09-28,2.890000,2.890000,2.830000,2.850000,2.670078,1027300
2015-09-29,2.820000,2.840000,2.800000,2.840000,2.660709,1358700
2015-09-30,2.840000,2.860000,2.830000,2.850000,2.670078,466400
2015-10-01,2.850000,2.880000,2.850000,2.850000,2.670078,313500
2015-10-02,2.850000,2.850000,2.810000,2.840000,2.660709,220100
2015-10-05,2.880000,2.900000,2.880000,2.900000,2.716922,203500
2015-10-06,2.910000,2.940000,2.910000,2.930000,2.745027,359000
2015-10-07,2.940000,3.000000,2.930000,3.000000,2.810608,754700
2015-10-08,3.020000,3.030000,2.990000,3.000000,2.810608,520500
2015-10-09,3.000000,3.050000,3.000000,3.030000,2.838714,788600
2015-10-12,3.050000,3.080000,3.030000,3.070000,2.876189,399800
2015-10-13,3.070000,3.070000,3.020000,3.020000,2.829346,260200
2015-10-14,3.020000,3.040000,3.000000,3.020000,2.829346,287700
2015-10-15,3.030000,3.050000,3.030000,3.040000,2.848083,275400
2015-10-16,3.060000,3.080000,3.060000,3.070000,2.876189,182000
2015-10-19,3.070000,3.070000,3.060000,3.070000,2.876189,334800
2015-10-20,3.070000,3.070000,3.050000,3.070000,2.876189,121400
2015-10-21,3.070000,3.080000,3.050000,3.070000,2.876189,104900
2015-10-22,3.060000,3.090000,3.060000,3.080000,2.885558,389500
2015-10-23,3.100000,3.110000,3.100000,3.110000,2.913664,260400
2015-10-26,3.130000,3.140000,3.130000,3.130000,2.932401,198300
2015-10-27,3.130000,3.130000,3.080000,3.080000,2.885558,172400
2015-10-28,3.090000,3.090000,3.080000,3.090000,2.894926,63100
2015-10-29,3.100000,3.110000,3.040000,3.050000,2.857452,204800
2015-10-30,3.040000,3.060000,3.010000,3.040000,2.848083,154400
2015-11-02,3.030000,3.030000,2.980000,3.020000,2.829346,280100
2015-11-03,3.050000,3.060000,3.050000,3.050000,2.857452,104700
2015-11-04,3.060000,3.090000,3.050000,3.080000,2.885558,62600
2015-11-05,3.080000,3.090000,3.060000,3.070000,2.876189,120700
2015-11-06,3.070000,3.070000,3.050000,3.050000,2.857452,66100
2015-11-09,3.050000,3.070000,3.030000,3.040000,2.848083,162500
2015-11-11,3.040000,3.060000,3.030000,3.040000,2.848083,200000
2015-11-12,3.020000,3.030000,2.990000,3.000000,2.810608,271500
2015-11-13,2.990000,2.990000,2.960000,2.970000,2.782502,469700
2015-11-16,2.960000,2.970000,2.930000,2.970000,2.782502,548200
2015-11-17,2.990000,2.990000,2.970000,2.970000,2.782502,220400
2015-11-18,2.980000,2.980000,2.930000,2.940000,2.754396,521900
2015-11-19,2.970000,2.990000,2.970000,2.980000,2.791871,89300
2015-11-20,2.980000,2.980000,2.950000,2.960000,2.773133,84400
2015-11-23,2.980000,2.980000,2.950000,2.950000,2.763765,77100
2015-11-24,2.950000,2.990000,2.950000,2.980000,2.791871,85100
2015-11-25,2.980000,2.980000,2.940000,2.950000,2.763765,309600
2015-11-26,2.950000,2.960000,2.940000,2.950000,2.763765,176000
2015-11-27,2.950000,2.950000,2.900000,2.920000,2.735659,840700
2015-11-30,2.930000,2.940000,2.910000,2.920000,2.735659,231900
2015-12-01,2.920000,2.940000,2.920000,2.930000,2.745027,122700
2015-12-02,2.930000,2.960000,2.930000,2.940000,2.754396,122600
2015-12-03,2.920000,2.950000,2.910000,2.950000,2.763765,141000
2015-12-04,2.920000,2.930000,2.910000,2.930000,2.745027,92800
2015-12-07,2.960000,2.970000,2.960000,2.960000,2.773133,85400
2015-12-08,2.950000,2.950000,2.930000,2.930000,2.745027,176100
2015-12-09,2.940000,2.940000,2.920000,2.920000,2.735659,245300
2015-12-10,2.920000,2.920000,2.900000,2.910000,2.726290,432200
2015-12-11,2.920000,2.920000,2.890000,2.890000,2.707553,540500
2015-12-14,2.890000,2.900000,2.850000,2.880000,2.698184,3112100
2015-12-15,2.880000,2.890000,2.860000,2.880000,2.698184,338900
2015-12-16,2.890000,2.910000,2.880000,2.900000,2.716922,211600
2015-12-17,2.920000,2.930000,2.900000,2.920000,2.735659,440400
2015-12-18,2.900000,2.920000,2.870000,2.900000,2.716922,457700
2015-12-21,2.900000,2.920000,2.880000,2.910000,2.726290,213600
2015-12-22,2.910000,2.920000,2.900000,2.910000,2.726290,163300
2015-12-23,2.930000,2.940000,2.920000,2.920000,2.735659,248400
2015-12-24,2.930000,2.940000,2.930000,2.940000,2.754396,64800
2015-12-28,2.940000,2.960000,2.930000,2.940000,2.754396,128600
2015-12-29,2.940000,2.960000,2.940000,2.950000,2.763765,39000
2015-12-30,2.960000,2.960000,2.930000,2.950000,2.763765,229500
2015-12-31,null,null,null,null,null,null
2016-01-04,2.950000,2.950000,2.880000,2.900000,2.716922,665800
2016-01-05,2.900000,2.900000,2.880000,2.890000,2.707553,511700
2016-01-06,2.890000,2.900000,2.870000,2.870000,2.688815,516500
2016-01-07,2.870000,2.870000,2.800000,2.800000,2.623234,2925100
2016-01-08,2.800000,2.820000,2.770000,2.810000,2.632603,1294000
2016-01-11,2.790000,2.790000,2.750000,2.780000,2.604497,1277300
2016-01-12,2.780000,2.790000,2.750000,2.760000,2.585760,1254400
2016-01-13,2.770000,2.780000,2.730000,2.750000,2.576391,1075900
2016-01-14,2.720000,2.720000,2.700000,2.710000,2.538916,729500
2016-01-15,2.720000,2.720000,2.690000,2.690000,2.520179,1120700
2016-01-18,2.670000,2.680000,2.640000,2.660000,2.492073,1452000
2016-01-19,2.660000,2.710000,2.650000,2.710000,2.538916,1245300
2016-01-20,2.680000,2.680000,2.620000,2.620000,2.454598,2010300
2016-01-21,2.640000,2.670000,2.600000,2.600000,2.435860,1624400
2016-01-22,2.640000,2.660000,2.610000,2.650000,2.482704,611500
2016-01-25,2.670000,2.690000,2.640000,2.650000,2.482704,966400
2016-01-26,2.640000,2.640000,2.600000,2.610000,2.445229,750900
2016-01-27,2.640000,2.650000,2.610000,2.610000,2.445229,944900
2016-01-28,2.610000,2.630000,2.610000,2.630000,2.463967,1564100
2016-01-29,2.580000,2.640000,2.570000,2.630000,2.512692,1294000
2016-02-01,2.650000,2.660000,2.610000,2.620000,2.503138,776300
2016-02-02,2.610000,2.610000,2.600000,2.600000,2.484030,696200
2016-02-03,2.570000,2.580000,2.540000,2.570000,2.455368,1559400
2016-02-04,2.570000,2.600000,2.560000,2.560000,2.445814,533400
2016-02-05,2.600000,2.630000,2.600000,2.630000,2.512692,405500
2016-02-10,2.570000,2.600000,2.550000,2.590000,2.474476,545700
2016-02-11,2.580000,2.580000,2.550000,2.560000,2.445814,769100
2016-02-12,2.560000,2.570000,2.550000,2.560000,2.445814,415900
2016-02-15,2.590000,2.640000,2.580000,2.620000,2.503138,538600
2016-02-16,2.630000,2.670000,2.610000,2.660000,2.541354,460600
2016-02-17,2.670000,2.670000,2.620000,2.620000,2.503138,487400
2016-02-18,2.660000,2.680000,2.660000,2.660000,2.541354,576200
2016-02-19,2.680000,2.680000,2.660000,2.680000,2.560462,238400
2016-02-22,2.670000,2.690000,2.670000,2.680000,2.560462,268500
2016-02-23,2.700000,2.700000,2.680000,2.690000,2.570015,274000
2016-02-24,2.680000,2.680000,2.630000,2.630000,2.512692,528400
2016-02-25,2.640000,2.650000,2.600000,2.610000,2.493584,582100
2016-02-26,2.640000,2.660000,2.630000,2.660000,2.541354,188800
2016-02-29,2.680000,2.690000,2.660000,2.690000,2.570015,364800
2016-03-01,2.690000,2.700000,2.670000,2.690000,2.570015,298500
2016-03-02,2.720000,2.750000,2.720000,2.740000,2.617785,1721800
2016-03-03,2.750000,2.800000,2.750000,2.780000,2.656001,978500
2016-03-04,2.790000,2.850000,2.790000,2.840000,2.713325,998600
2016-03-07,2.860000,2.860000,2.810000,2.830000,2.703771,508500
2016-03-08,2.820000,2.840000,2.780000,2.780000,2.656001,471000
2016-03-09,2.780000,2.820000,2.780000,2.820000,2.694217,187100
2016-03-10,2.840000,2.840000,2.800000,2.800000,2.675109,128300
2016-03-11,2.820000,2.840000,2.800000,2.830000,2.703771,88800
2016-03-14,2.850000,2.870000,2.850000,2.860000,2.732433,389200
2016-03-15,2.860000,2.860000,2.830000,2.840000,2.713325,144900
2016-03-16,2.860000,2.860000,2.840000,2.850000,2.722879,69600
2016-03-17,2.870000,2.890000,2.870000,2.880000,2.751541,318200
2016-03-18,2.890000,2.910000,2.890000,2.910000,2.780203,726300
2016-03-21,2.920000,2.920000,2.870000,2.890000,2.761095,235200
2016-03-22,2.900000,2.900000,2.870000,2.870000,2.741987,185800
2016-03-23,2.890000,2.900000,2.880000,2.890000,2.761095,231000
2016-03-24,2.890000,2.890000,2.840000,2.850000,2.722879,624000
2016-03-28,2.850000,2.870000,2.820000,2.830000,2.703771,224700
2016-03-29,2.840000,2.840000,2.830000,2.830000,2.703771,107200
